Run Block Trial Response s1 s2 s3 invord i1 i2 i3 f1 f2 f3 responsetime
0 2 13 0 60.0 40.0 0.0 1 7 5 1 3 5 10 4.79537200928
0 2 14 1 10.0 30.0 40.0 0 2 4 5 1 4 10 1.66884207726
0 2 15 0 30.0 10.0 0.0 1 4 2 1 5 7 9 2.3228828907
0 2 16 0 10.0 40.0 50.0 0 2 5 6 4 6 10 1.7302031517
0 2 17 0 50.0 10.0 0.0 1 6 2 1 6 9 14 1.84734392166
0 2 18 0 50.0 30.0 0.0 1 6 4 1 2 7 9 1.29188895226
0 2 19 0 70.0 50.0 20.0 1 8 6 3 1 9 11 1.18378996849
0 2 20 0 70.0 30.0 0.0 1 8 4 1 1 10 14 0.741357088089
0 2 21 1 60.0 50.0 0.0 1 7 6 1 5 9 10 1.54282402992
0 2 22 1 20.0 30.0 40.0 0 3 4 5 3 7 12 5.41577315331
0 2 23 1 0.0 30.0 40.0 0 1 4 5 0 2 7 4.11908793449
0 2 24 0 60.0 40.0 20.0 1 7 5 3 8 11 14 1.45452880859
0 2 25 0 70.0 50.0 0.0 1 8 6 1 3 8 11 1.24847602844
0 2 26 1 10.0 20.0 40.0 0 2 3 5 3 4 13 1.75121688843
0 2 27 0 70.0 40.0 20.0 1 8 5 3 3 6 14 1.18407201767
0 2 28 1 40.0 50.0 60.0 0 5 6 7 1 4 14 2.35056090355
0 2 29 1 0.0 20.0 50.0 0 1 3 6 1 3 6 1.37106394768
0 2 30 0 70.0 60.0 40.0 1 8 7 5 7 10 12 7.95490503311
0 2 31 1 0.0 10.0 70.0 0 1 2 8 2 10 14 0.599212169647
0 2 32 0 60.0 30.0 0.0 1 7 4 1 8 9 11 0.942581892014
0 2 33 1 20.0 30.0 60.0 0 3 4 7 0 7 10 0.748592853546
0 2 34 1 20.0 30.0 50.0 0 3 4 6 0 2 12 1.92396211624
0 2 35 0 70.0 40.0 30.0 1 8 5 4 8 9 12 1.25202703476
0 2 36 0 50.0 30.0 10.0 1 6 4 2 2 5 14 1.37032985687
0 2 37 1 60.0 50.0 30.0 1 7 6 4 6 10 13 9.15189886093
0 2 38 1 10.0 50.0 70.0 0 2 6 8 1 8 11 1.18581390381
0 2 39 0 60.0 10.0 0.0 1 7 2 1 4 10 12 1.40639710426
0 2 40 0 30.0 20.0 0.0 1 4 3 1 1 5 6 2.03199982643
0 2 41 1 10.0 40.0 70.0 0 2 5 8 3 10 14 1.17201304436
0 2 42 1 10.0 30.0 70.0 0 2 4 8 0 7 9 0.723237991333
0 2 43 1 20.0 30.0 70.0 0 3 4 8 3 8 12 0.651622056961
0 2 44 0 30.0 60.0 70.0 0 4 7 8 9 11 14 1.25381207466
0 2 45 1 50.0 40.0 0.0 1 6 5 1 5 6 7 1.55348300934
0 2 46 0 10.0 50.0 60.0 0 2 6 7 0 1 11 1.6271109581
0 2 47 0 60.0 40.0 10.0 1 7 5 2 2 6 7 6.1532740593
0 2 48 1 20.0 40.0 50.0 0 3 5 6 2 6 11 6.16491007805
0 2 49 1 0.0 20.0 40.0 0 1 3 5 0 1 13 1.15128087997
0 2 50 0 20.0 10.0 0.0 1 3 2 1 0 3 13 4.45036911964
0 2 51 0 60.0 20.0 10.0 1 7 3 2 6 8 12 1.09140706062
0 2 52 0 70.0 20.0 10.0 1 8 3 2 4 12 13 0.637269020081
0 2 53 1 70.0 60.0 20.0 1 8 7 3 0 1 10 1.54689908028
0 2 54 1 0.0 20.0 60.0 0 1 3 7 6 7 8 1.3318297863
0 2 55 0 0.0 60.0 70.0 0 1 7 8 3 4 11 1.2141931057
0 3 0 0 70.0 40.0 0.0 1 8 5 1 8 12 13 1.26734399796
0 3 1 0 50.0 20.0 10.0 1 6 3 2 0 2 7 1.37674689293
0 3 2 1 70.0 60.0 10.0 1 8 7 2 2 5 12 0.962764024734
0 3 3 1 0.0 20.0 70.0 0 1 3 8 0 2 8 0.741970062256
0 3 4 1 50.0 60.0 70.0 0 6 7 8 6 7 13 7.24271082878
0 3 5 0 70.0 50.0 40.0 1 8 6 5 7 10 12 0.780274868011
0 3 6 1 30.0 40.0 50.0 0 4 5 6 1 4 7 2.58136701584
0 3 7 1 0.0 10.0 40.0 0 1 2 5 1 9 11 1.01512002945
0 3 8 0 60.0 30.0 10.0 1 7 4 2 2 5 14 0.722434043884
0 3 9 1 10.0 20.0 30.0 0 2 3 4 3 4 12 1.44790410995
0 3 10 0 70.0 50.0 30.0 1 8 6 4 1 6 12 1.25544118881
0 3 11 0 60.0 40.0 30.0 1 7 5 4 4 9 14 1.47424292564
0 3 12 1 60.0 50.0 20.0 1 7 6 3 0 7 11 5.80284690857
0 3 13 0 60.0 40.0 0.0 1 7 5 1 0 3 6 1.54917097092
0 3 14 1 10.0 30.0 40.0 0 2 4 5 0 5 9 2.72724890709
0 3 15 0 30.0 10.0 0.0 1 4 2 1 2 8 14 1.85836386681
0 3 16 0 10.0 40.0 50.0 0 2 5 6 2 9 12 1.62448120117
0 3 17 0 50.0 10.0 0.0 1 6 2 1 1 6 9 1.36794090271
0 3 18 0 50.0 30.0 0.0 1 6 4 1 1 10 11 2.11139678955
0 3 19 0 70.0 50.0 20.0 1 8 6 3 6 8 9 3.7676680088
0 3 20 0 70.0 30.0 0.0 1 8 4 1 1 8 9 0.527367830276
0 3 21 1 60.0 50.0 0.0 1 7 6 1 6 9 12 1.43322920799
0 3 22 1 20.0 30.0 40.0 0 3 4 5 7 9 10 3.24525284767
0 3 23 1 0.0 30.0 40.0 0 1 4 5 8 9 11 1.41867113113
0 3 24 0 60.0 40.0 20.0 1 7 5 3 5 9 10 1.44291901588
0 3 25 0 70.0 50.0 0.0 1 8 6 1 2 3 9 0.924554109573
0 3 26 1 10.0 20.0 40.0 0 2 3 5 0 9 13 1.70782184601
0 3 27 0 70.0 40.0 20.0 1 8 5 3 3 6 13 0.746268033981
0 3 28 1 40.0 50.0 60.0 0 5 6 7 0 4 6 2.78876590729
0 3 29 1 0.0 20.0 50.0 0 1 3 6 2 11 14 1.12531995773
0 3 30 0 70.0 60.0 40.0 1 8 7 5 1 9 12 3.22125005722
0 3 31 1 0.0 10.0 70.0 0 1 2 8 3 5 9 0.7125248909
0 3 32 0 60.0 30.0 0.0 1 7 4 1 6 12 13 1.9151930809
0 3 33 1 20.0 30.0 60.0 0 3 4 7 5 7 14 1.48059296608
0 3 34 1 20.0 30.0 50.0 0 3 4 6 0 4 7 2.07366704941
0 3 35 0 70.0 40.0 30.0 1 8 5 4 6 11 12 1.03723192215
0 3 36 0 50.0 30.0 10.0 1 6 4 2 8 11 14 1.29745912552
0 3 37 0 60.0 50.0 30.0 1 7 6 4 6 10 14 4.61636710167
0 3 38 1 10.0 50.0 70.0 0 2 6 8 2 7 12 0.670611858368
0 3 39 0 60.0 10.0 0.0 1 7 2 1 1 11 12 1.33071899414
0 3 40 0 30.0 20.0 0.0 1 4 3 1 2 10 14 3.64170002937
0 3 41 1 10.0 40.0 70.0 0 2 5 8 3 6 8 1.00036215782
0 3 42 1 10.0 30.0 70.0 0 2 4 8 6 8 12 0.742191076279
0 3 43 1 20.0 30.0 70.0 0 3 4 8 8 12 14 1.25426387787
0 3 44 0 30.0 60.0 70.0 0 4 7 8 3 12 13 1.36282896996
0 3 45 1 50.0 40.0 0.0 1 6 5 1 2 3 6 1.5862429142
