Run Block Trial Response s1 s2 s3 invord i1 i2 i3 f1 f2 f3 responsetime
0 2 34 1 50.0 40.0 30.0 1 6 5 4 1 8 14 14.9637460709
0 2 35 0 50.0 20.0 0.0 1 6 3 1 0 2 3 2.03524398804
0 2 36 1 20.0 40.0 70.0 0 3 5 8 2 3 11 3.14973497391
0 2 37 1 10.0 40.0 50.0 0 2 5 6 1 6 12 14.8265550137
0 2 38 1 10.0 30.0 60.0 0 2 4 7 11 13 14 2.82176804543
0 2 39 1 10.0 20.0 70.0 0 2 3 8 0 3 9 5.14862704277
0 2 40 0 30.0 20.0 10.0 1 4 3 2 2 12 14 5.52645587921
0 2 41 1 20.0 30.0 60.0 0 3 4 7 0 2 9 2.79118013382
0 2 42 1 10.0 30.0 70.0 0 2 4 8 2 5 11 3.86987996101
0 2 43 0 0.0 40.0 60.0 0 1 5 7 0 2 6 5.86556196213
0 2 44 0 70.0 50.0 0.0 1 8 6 1 0 2 11 3.45577502251
0 2 45 0 40.0 30.0 0.0 1 5 4 1 0 9 13 3.15301203728
0 2 46 1 60.0 50.0 30.0 1 7 6 4 1 7 10 12.0478568077
0 2 47 0 70.0 50.0 10.0 1 8 6 2 0 4 14 8.88267707825
0 2 48 0 50.0 10.0 0.0 1 6 2 1 3 4 14 6.38800287247
0 2 49 1 0.0 10.0 40.0 0 1 2 5 1 2 12 3.1630461216
0 2 50 1 20.0 40.0 50.0 0 3 5 6 8 10 11 11.7017037868
0 2 51 0 40.0 30.0 10.0 1 5 4 2 0 6 10 9.03660488129
0 2 52 1 0.0 30.0 50.0 0 1 4 6 9 11 13 1.25871896744
0 2 53 0 60.0 50.0 40.0 1 7 6 5 0 5 11 4.08836913109
0 2 54 1 10.0 40.0 70.0 0 2 5 8 6 9 14 10.3374989033
0 2 55 0 20.0 10.0 0.0 1 3 2 1 8 10 12 15.6090898514
0 3 0 1 30.0 40.0 70.0 0 4 5 8 4 6 13 1.29245185852
0 3 1 0 70.0 10.0 0.0 1 8 2 1 7 12 13 1.35814285278
0 3 2 1 0.0 20.0 30.0 0 1 3 4 6 7 10 1.77065992355
0 3 3 1 20.0 30.0 70.0 0 3 4 8 2 9 14 1.36356711388
0 3 4 0 70.0 30.0 0.0 1 8 4 1 2 8 14 1.60984706879
0 3 5 1 20.0 50.0 70.0 0 3 6 8 11 12 13 21.284883976
0 3 6 0 50.0 20.0 10.0 1 6 3 2 4 5 7 1.4894797802
0 3 7 0 10.0 50.0 60.0 0 2 6 7 4 5 11 2.19352912903
0 3 8 1 10.0 20.0 60.0 0 2 3 7 1 2 9 1.80816102028
0 3 9 0 0.0 60.0 70.0 0 1 7 8 0 8 14 3.06878590584
0 3 10 1 0.0 30.0 60.0 0 1 4 7 10 11 12 4.75131392479
0 3 11 1 20.0 40.0 60.0 0 3 5 7 2 5 8 4.75306797028
0 3 12 0 30.0 10.0 0.0 1 4 2 1 5 7 10 6.25576806068
0 3 13 0 70.0 50.0 40.0 1 8 6 5 1 3 6 2.71460390091
0 3 14 1 50.0 40.0 0.0 1 6 5 1 1 3 5 7.73903799057
0 3 15 0 70.0 20.0 0.0 1 8 3 1 3 4 9 3.91788315773
0 3 16 0 40.0 60.0 70.0 0 5 7 8 2 9 12 7.17015004158
0 3 17 0 60.0 10.0 0.0 1 7 2 1 1 5 12 2.3443801403
0 3 18 0 60.0 40.0 10.0 1 7 5 2 1 6 10 20.0386288166
0 3 19 1 50.0 60.0 70.0 0 6 7 8 2 12 13 10.4758219719
0 3 20 1 0.0 40.0 70.0 0 1 5 8 6 7 14 4.63489699364
0 3 21 0 60.0 40.0 30.0 1 7 5 4 5 7 8 4.27806305885
0 3 22 0 60.0 20.0 0.0 1 7 3 1 5 11 13 1.65622591972
0 3 23 1 60.0 50.0 0.0 1 7 6 1 1 3 9 15.0468561649
0 3 24 1 70.0 60.0 30.0 1 8 7 4 0 9 12 2.41427516937
0 3 25 1 10.0 30.0 50.0 0 2 4 6 3 5 6 1.44022703171
0 3 26 0 50.0 30.0 20.0 1 6 4 3 9 12 13 1.61979293823
0 3 27 1 0.0 20.0 40.0 0 1 3 5 5 8 13 3.41236114502
0 3 28 1 60.0 50.0 20.0 1 7 6 3 0 5 14 10.8707480431
0 3 29 1 70.0 60.0 20.0 1 8 7 3 8 9 14 8.18140387535
0 3 30 0 30.0 50.0 70.0 0 4 6 8 5 7 11 7.470744133
0 3 31 0 10.0 60.0 70.0 0 2 7 8 2 9 10 7.48692512512
0 3 32 1 20.0 30.0 40.0 0 3 4 5 9 13 14 1.55344891548
0 3 33 0 40.0 20.0 10.0 1 5 3 2 3 5 7 1.51591706276
0 3 34 0 50.0 40.0 30.0 1 6 5 4 6 10 13 1.61654901505
0 3 35 0 50.0 20.0 0.0 1 6 3 1 1 10 12 1.77742981911
0 3 36 1 20.0 40.0 70.0 0 3 5 8 4 7 14 2.70883393288
0 3 37 1 10.0 40.0 50.0 0 2 5 6 5 6 10 10.216850996
0 3 38 1 10.0 30.0 60.0 0 2 4 7 3 8 12 2.09342193604
0 3 39 1 10.0 20.0 70.0 0 2 3 8 4 9 12 1.47179293633
0 3 40 0 30.0 20.0 10.0 1 4 3 2 2 7 13 10.5963799953
0 3 41 1 20.0 30.0 60.0 0 3 4 7 0 9 10 3.0129070282
0 3 42 1 10.0 30.0 70.0 0 2 4 8 1 5 7 1.87381505966
0 3 43 1 0.0 40.0 60.0 0 1 5 7 2 10 13 4.15667390823
0 3 44 0 70.0 50.0 0.0 1 8 6 1 0 8 11 6.56017422676
0 3 45 0 40.0 30.0 0.0 1 5 4 1 1 10 13 3.7072160244
0 3 46 1 60.0 50.0 30.0 1 7 6 4 8 9 12 8.0283639431
0 3 47 0 70.0 50.0 10.0 1 8 6 2 5 7 9 11.0876049995
0 3 48 0 50.0 10.0 0.0 1 6 2 1 8 10 13 2.27008509636
0 3 49 1 0.0 10.0 40.0 0 1 2 5 3 5 11 1.18227100372
0 3 50 1 20.0 40.0 50.0 0 3 5 6 1 2 7 2.75396800041
0 3 51 0 40.0 30.0 10.0 1 5 4 2 11 13 14 4.29010391235
0 3 52 1 0.0 30.0 50.0 0 1 4 6 2 8 13 2.6717839241
0 3 53 0 60.0 50.0 40.0 1 7 6 5 1 12 13 11.4677889347
0 3 54 1 10.0 40.0 70.0 0 2 5 8 1 6 11 2.59536290169
0 3 55 1 20.0 10.0 0.0 1 3 2 1 4 7 8 13.0605452061
0 4 0 1 30.0 40.0 70.0 0 4 5 8 2 8 12 2.3820772171
0 4 1 0 70.0 10.0 0.0 1 8 2 1 0 1 12 1.39525413513
0 4 2 1 0.0 20.0 30.0 0 1 3 4 1 2 9 1.36855006218
0 4 3 1 20.0 30.0 70.0 0 3 4 8 4 5 7 1.76473903656
0 4 4 0 70.0 30.0 0.0 1 8 4 1 3 4 11 1.32641601562
0 4 5 1 20.0 50.0 70.0 0 3 6 8 4 11 14 8.08575415611
0 4 6 0 50.0 20.0 10.0 1 6 3 2 2 10 13 1.15965008736
0 4 7 0 10.0 50.0 60.0 0 2 6 7 4 5 12 11.6329529285
0 4 8 1 10.0 20.0 60.0 0 2 3 7 8 10 12 2.18074989319
0 4 9 0 0.0 60.0 70.0 0 1 7 8 1 5 7 1.25233101845
0 4 10 1 0.0 30.0 60.0 0 1 4 7 2 3 10 1.32666397095
0 4 11 1 20.0 40.0 60.0 0 3 5 7 2 4 10 2.72354483604
0 4 12 0 30.0 10.0 0.0 1 4 2 1 1 8 12 4.3909330368
0 4 13 0 70.0 50.0 40.0 1 8 6 5 0 1 5 2.19301009178
